Year,State,Homicide_Rate,Homicide_Count
2010,ACTa,0,0
2011,ACTa,1.06,4
2012,ACTa,0.52,2
2013,ACTa,0.26,1
2014,ACTa,2.78,5
2015,ACTa,0.74,3
2016,ACTa,0.24,1
2017,ACTa,0.24,1
2018,ACTa,0.46,2
2019,ACTa,0.46,2
2020,ACTa,1.32,6
2021,ACTa,1.53,7
2022,ACTa,0.64,3
1990,NT,16.92,28
1991,NT,10.68,18
1992,NT,9.9,17
1993,NT,13.15,23
1994,NT,11.14,19
1995,NT,11.92,21
1996,NT,9.49,18
1997,NT,5.7,11
1998,NT,9.18,18
1999,NT,3.51,7
2000,NT,8.43,17
2001,NT,11.87,24
2002,NT,8.43,17
2003,NT,5.43,11
2004,NT,5.83,12
2005,NT,7.65,16
2006,NT,8.42,18
2007,NT,8.19,18
2008,NT,4.87,11
2009,NT,5.66,13
2010,NT,4.76,11
2011,NT,5.51,13
2012,NT,7.03,17
2013,NT,6.59,16
2014,NT,2.04,10
2015,NT,2.44,6
2016,NT,2.83,7
2017,NT,2.44,6
2018,NT,2.03,5
2019,NT,3.25,8
2020,NT,2.81,7
2021,NT,2.8,7
2022,NT,4.36,11
